gpstime,alt,vel
2022-08-28 13:24:39+00,69,9
2022-08-28 13:24:39+00,69,9
2022-08-28 13:38:12+00,1894,505
2022-08-28 13:38:25+00,1917,507
2022-08-28 13:38:25+00,1917,507
2022-08-28 13:38:25+00,1917,507
2022-08-28 13:38:37+00,1913,505
2022-08-28 13:38:37+00,1913,505
2022-08-28 13:38:49+00,1912,503
2022-08-28 13:38:49+00,1912,503
2022-08-28 13:42:05+00,3408,0
2022-08-28 13:45:07+00,4997,0
2022-08-28 13:45:07+00,4997,0
2022-08-28 13:47:52+00,6542,0
2022-08-28 13:48:05+00,6642,798
2022-08-28 13:48:59+00,6942,0
2022-08-28 13:50:14+00,7524,837
2022-08-28 13:51:37+00,8069,863
2022-08-28 13:51:37+00,8069,863
2022-08-28 13:51:50+00,8155,866
2022-08-28 13:52:02+00,8242,867
2022-08-28 13:52:14+00,8335,866
2022-08-28 13:52:26+00,8407,869
2022-08-28 13:52:38+00,8446,876
2022-08-28 13:52:38+00,8446,876
2022-08-28 13:53:02+00,8533,886
2022-08-28 13:53:14+00,8629,885
2022-08-28 13:53:26+00,8731,881
2022-08-28 13:53:38+00,8793,883
2022-08-28 13:53:38+00,8793,883
2022-08-28 13:53:38+00,8793,883
2022-08-28 13:53:50+00,8841,888
2022-08-28 13:54:02+00,8897,890
2022-08-28 13:59:20+00,10819,0
2022-08-28 14:00:11+00,11003,880
2022-08-28 14:00:11+00,11003,880
2022-08-28 14:10:07+00,11280,882
2022-08-28 14:10:19+00,11279,883
2022-08-28 14:10:31+00,11275,884
2022-08-28 14:10:43+00,11276,884
2022-08-28 14:10:55+00,11276,883
2022-08-28 14:13:28+00,11269,0
2022-08-28 14:15:07+00,11274,0
2022-08-28 14:17:38+00,11249,0
2022-08-28 14:20:31+00,11253,0
2022-08-28 14:28:16+00,11251,0
2022-08-28 14:37:41+00,11247,0
2022-08-28 14:39:58+00,11218,847
2022-08-28 14:44:28+00,11225,0
2022-08-28 16:30:45+00,11216,0
2022-08-28 17:21:42+00,11964,0
2022-08-28 17:21:55+00,11721,909
2022-08-28 17:22:07+00,11722,908
2022-08-28 17:22:20+00,11723,907
2022-08-28 17:22:32+00,11722,906
2022-08-28 17:22:44+00,11719,906
2022-08-28 17:22:57+00,11716,906
2022-08-28 17:23:10+00,11715,907
2022-08-28 17:23:23+00,11716,0
2022-08-28 17:23:35+00,11717,0
2022-08-28 17:23:47+00,11719,0
2022-08-28 17:23:59+00,11717,0
2022-08-28 17:24:11+00,11714,911
2022-08-28 17:39:34+00,11672,0
2022-08-28 18:16:21+00,11672,897
2022-08-28 18:16:34+00,11671,894
2022-08-28 18:16:46+00,11672,893
2022-08-28 18:16:58+00,11672,893
2022-08-28 18:17:10+00,11672,893
2022-08-28 18:17:22+00,11671,894
